venue_id,name,category,locality,region,description,poi_idx,latitude,longitude
3fd66200f964a52000e71ee3,Fat Cat,Arts and Entertainment > Performing Arts Venue > Music Venue > Jazz and Blues Venue,New York,NY,"Fat Cat is a Arts and Entertainment > Performing Arts Venue > Music Venue > Jazz and Blues Venue located at 75 Christopher St, New York, NY.",0,40.73359624463056,-74.00313913822174
3fd66200f964a52001e81ee3,Turtle Bay NYC,Dining and Drinking > Bar,New York,NY,"Turtle Bay NYC is a Dining and Drinking > Bar located at 987 2nd Ave, New York, NY.",1,40.75636884695846,-73.96764249332541
3fd66200f964a52003e71ee3,Pastis,Dining and Drinking > Restaurant > French Restaurant,New York,NY,"Pastis is a Dining and Drinking > Restaurant > French Restaurant located at 9 9th Ave, New York, NY.",2,40.73968518262072,-74.00601983070374
3fd66200f964a52004e41ee3,,Bar,,,A Bar venue.,3,40.71836264775439,-73.9908166227313
3fd66200f964a52004e61ee3,Café Habana,Dining and Drinking > Restaurant > Caribbean Restaurant > Cuban Restaurant,New York,NY,"Café Habana is a Dining and Drinking > Restaurant > Caribbean Restaurant > Cuban Restaurant located at 17 Prince St, New York, NY.",4,40.72284169882771,-73.9941164689654
3fd66200f964a52005e81ee3,Murphy's Pub,Dining and Drinking > Bar > Irish Pub,New York,NY,"Murphy's Pub is a Dining and Drinking > Bar > Irish Pub located at 977 2nd Ave, New York, NY.",5,40.756161,-73.967686
3fd66200f964a52005eb1ee3,Irving Plaza,Arts and Entertainment > Performing Arts Venue > Music Venue,New York,NY,"Irving Plaza is a Arts and Entertainment > Performing Arts Venue > Music Venue located at 17 Irving Pl, New York, NY.",6,40.73492041854701,-73.98829722365633
3fd66200f964a52008e91ee3,Irving Farm Coffee Roasters,"Dining and Drinking > Cafe, Coffee, and Tea House > Café",New York,NY,"Irving Farm Coffee Roasters is a Dining and Drinking > Cafe, Coffee, and Tea House > Café located at 71 Irving Pl, New York, NY.",7,40.736827,-73.986909
3fd66200f964a52008f11ee3,Bohemian Hall & Beer Garden,Dining and Drinking > Bar > Beer Garden,Astoria,NY,"Bohemian Hall & Beer Garden is a Dining and Drinking > Bar > Beer Garden located at 2919 24th Ave, Astoria, NY.",8,40.77300701660423,-73.9158862978038
3fd66200f964a52009e61ee3,Spring Lounge,Dining and Drinking > Bar > Dive Bar,New York,NY,"Spring Lounge is a Dining and Drinking > Bar > Dive Bar located at 48 Spring St, New York, NY.",9,40.721941345858085,-73.9962589623642
3fd66200f964a5200ae51ee3,Niagara,Dining and Drinking > Bar > Dive Bar,New York,NY,"Niagara is a Dining and Drinking > Bar > Dive Bar located at 112 Avenue A, New York, NY.",10,40.72607169369348,-73.98347854614258
