venue_id,name,category,locality,region,description,poi_idx,latitude,longitude
3fd66200f964a52000e71ee3,,Arts & Entertainment>Music Venue>Jazz Club,"40.7300,-74.0100",NYC,,0,40.733596,-74.003139
3fd66200f964a52000e81ee3,,Shop & Service>Gym / Fitness Center>Gym,"40.7500,-73.9800",NYC,,1,40.758102,-73.975734
3fd66200f964a52001e81ee3,,Nightlife Spot>Bar>Sports Bar,"40.7500,-73.9700",NYC,,2,40.756377,-73.967653
3fd66200f964a52003e71ee3,,Food>French Restaurant,"40.7300,-74.0100",NYC,,3,40.739685,-74.00602
3fd66200f964a52003e81ee3,,Nightlife Spot>Bar>Hotel Bar,"40.7500,-73.9800",NYC,,4,40.756119,-73.972532
3fd66200f964a52004e41ee3,,Nightlife Spot>Bar,"40.7100,-74.0000",NYC,,5,40.718363,-73.990817
3fd66200f964a52004e61ee3,,Food>Latin American Restaurant>Cuban Restaurant,"40.7200,-74.0000",NYC,,6,40.722842,-73.994116
3fd66200f964a52005e41ee3,,Nightlife Spot>Bar,"40.7100,-73.9900",NYC,,7,40.719831,-73.987351
3fd66200f964a52005e51ee3,,Nightlife Spot>Bar>Gay Bar,"40.7200,-74.0000",NYC,,8,40.724612,-73.990485
3fd66200f964a52005e71ee3,,Nightlife Spot>Bar,"40.7200,-74.0100",NYC,,9,40.728403,-74.005439
3fd66200f964a52005e81ee3,,Nightlife Spot>Bar>Pub,"40.7500,-73.9700",NYC,,10,40.756161,-73.967686
3fd66200f964a52005eb1ee3,,Arts & Entertainment>Music Venue,"40.7300,-73.9900",NYC,,11,40.73492,-73.988297
3fd66200f964a52007e61ee3,,Nightlife Spot>Bar>Cocktail Bar,"40.7200,-74.0000",NYC,,12,40.725755,-73.994913
3fd66200f964a52007ea1ee3,,Food>American Restaurant,"40.7300,-74.0100",NYC,,13,40.738098,-74.00417
3fd66200f964a52008e31ee3,,Shop & Service>Thrift / Vintage Store,"40.7200,-73.9600",NYC,,14,40.721353,-73.95775
3fd66200f964a52008e81ee3,,Food>Dessert Shop,"40.7600,-73.9700",NYC,,15,40.761769,-73.965173
3fd66200f964a52008e91ee3,,Caf�,"40.7300,-73.9900",NYC,,16,40.736827,-73.986909
3fd66200f964a52008eb1ee3,,Nightlife Spot>Bar,"40.7800,-73.9600",NYC,,17,40.783732,-73.950443
3fd66200f964a52008f11ee3,,Nightlife Spot>Bar>Beer Garden,"40.7700,-73.9200",NYC,,18,40.773007,-73.915886
3fd66200f964a52009e61ee3,,Nightlife Spot>Bar,"40.7200,-74.0000",NYC,,19,40.721941,-73.996259
3fd66200f964a5200ae51ee3,,Nightlife Spot>Bar,"40.7200,-73.9900",NYC,,20,40.726072,-73.983479
3fd66200f964a5200ae61ee3,,Nightlife Spot>Bar,"40.7200,-74.0100",NYC,,21,40.729888,-74.000613
3fd66200f964a5200ae71ee3,,Nightlife Spot>Bar>Sports Bar,"40.7300,-74.0100",NYC,,22,40.73258,-74.00256
3fd66200f964a5200ae91ee3,,Arts & Entertainment>Bowling Alley,"40.7500,-74.0000",NYC,,23,40.757394,-73.993301
3fd66200f964a5200be51ee3,,Nightlife Spot>Bar,"40.7200,-73.9900",NYC,,24,40.722536,-73.986174
3fd66200f964a5200ce41ee3,,Nightlife Spot>Lounge,"40.7100,-74.0000",NYC,,25,40.718838,-73.992383
3fd66200f964a5200ce61ee3,,Nightlife Spot>Bar,"40.7200,-74.0100",NYC,,26,40.726068,-74.001571
3fd66200f964a5200ce91ee3,,Nightlife Spot>Bar>Pub,"40.7800,-73.9800",NYC,,27,40.785953,-73.976422
3fd66200f964a5200de71ee3,,Nightlife Spot>Bar,"40.7300,-74.0100",NYC,,28,40.73233,-74.00164
3fd66200f964a5200deb1ee3,,Arts & Entertainment>Music Venue>Rock Club,"40.7200,-73.9900",NYC,,29,40.720933,-73.987901
3fd66200f964a5200ee51ee3,,Nightlife Spot>Bar,"40.7200,-73.9900",NYC,,30,40.726974,-73.984047
3fd66200f964a5200ee71ee3,,Food>American Restaurant,"40.7300,-74.0100",NYC,,31,40.733102,-74.003006
3fd66200f964a5200fe41ee3,,Arts & Entertainment>Music Venue>Rock Club,"40.7200,-73.9900",NYC,,32,40.7211,-73.987924
3fd66200f964a5200fe91ee3,,Nightlife Spot>Bar>Pub,"40.7400,-74.0000",NYC,,33,40.74753,-73.993164
3fd66200f964a52010e41ee3,,Food>Molecular Gastronomy Restaurant,"40.7100,-73.9900",NYC,,34,40.719649,-73.984607
3fd66200f964a52010e81ee3,,Professional & Other Places>Office,"40.7500,-73.9800",NYC,,35,40.759153,-73.97473
3fd66200f964a52011e81ee3,,Nightlife Spot>Bar>Dive Bar,"40.7600,-73.9700",NYC,,36,40.762812,-73.967519
3fd66200f964a52011e91ee3,,Shop & Service>Record Shop,"40.7300,-74.0100",NYC,,37,40.730641,-74.002705
3fd66200f964a52012e41ee3,,Arts & Entertainment>Music Venue>Rock Club,"40.7200,-73.9900",NYC,,38,40.721049,-73.983172
3fd66200f964a52012e61ee3,,Food>French Restaurant,"40.7300,-74.0100",NYC,,39,40.738088,-74.009507
3fd66200f964a52014e71ee3,,Food>Mexican Restaurant,"40.7300,-74.0100",NYC,,40,40.737557,-74.008188
3fd66200f964a52014eb1ee3,,Arts & Entertainment>Music Venue,"40.7600,-73.9900",NYC,,41,40.763315,-73.984165
3fd66200f964a52015e31ee3,,Nightlife Spot>Bar,"40.7800,-73.9800",NYC,,42,40.78482,-73.977128
3fd66200f964a52015e91ee3,,Food>Seafood Restaurant,"40.7300,-74.0000",NYC,,43,40.736627,-73.990885
3fd66200f964a52016e51ee3,,Nightlife Spot>Bar>Pub,"40.7200,-73.9900",NYC,,44,40.723067,-73.988504
3fd66200f964a52017e31ee3,,Food>Restaurant,"40.7800,-73.9800",NYC,,45,40.781856,-73.979227
3fd66200f964a52017e61ee3,,Nightlife Spot>Bar,"40.7200,-74.0000",NYC,,46,40.72534,-73.992491
3fd66200f964a52018e41ee3,,Food>Italian Restaurant,"40.7200,-73.9900",NYC,,47,40.720071,-73.988231
3fd66200f964a52018e51ee3,,Nightlife Spot>Bar>Dive Bar,"40.7200,-73.9900",NYC,,48,40.72511,-73.981301
3fd66200f964a52018eb1ee3,,Food>Deli / Bodega,"40.7600,-73.9900",NYC,,49,40.764135,-73.981192
3fd66200f964a52019e61ee3,,Nightlife Spot>Bar>Hotel Bar,"40.7300,-73.9900",NYC,,50,40.736549,-73.989279
3fd66200f964a52019eb1ee3,,Nightlife Spot>Bar>Pub,"40.7200,-74.0000",NYC,,51,40.724622,-73.995861
3fd66200f964a5201be71ee3,,Food>Mexican Restaurant,"40.7300,-74.0100",NYC,,52,40.731996,-74.003582
3fd66200f964a5201de61ee3,,Arts & Entertainment>Music Venue>Rock Club,"40.7200,-74.0000",NYC,,53,40.728378,-73.99954
3fd66200f964a5201dea1ee3,,Food>BBQ Joint,"40.7500,-73.9900",NYC,,54,40.756929,-73.985453
3fd66200f964a5201deb1ee3,,Nightlife Spot>Bar,"40.7300,-73.9900",NYC,,55,40.738783,-73.98894
3fd66200f964a5201ee31ee3,,Food>American Restaurant>New American Restaurant,"40.7100,-73.9900",NYC,,56,40.719698,-73.987696
3fd66200f964a5201ee51ee3,,Nightlife Spot>Bar,"40.7200,-73.9900",NYC,,57,40.728156,-73.981262
3fd66200f964a5201ee71ee3,,Food>American Restaurant,"40.7300,-74.0100",NYC,,58,40.733942,-74.002547
3fd66200f964a5201fe51ee3,,Caf�,"40.7200,-73.9900",NYC,,59,40.725472,-73.983783
3fd66200f964a52020e31ee3,,Food>Dessert Shop>Donut Shop,"40.7100,-73.9900",NYC,,60,40.716347,-73.988543
3fd66200f964a52020e61ee3,,Shop & Service>Bookstore,"40.7200,-74.0000",NYC,,61,40.724846,-73.996664
3fd66200f964a52020e71ee3,,Food>BBQ Joint,"40.7400,-74.0000",NYC,,62,40.744557,-73.99065
3fd66200f964a52020e81ee3,,Arts & Entertainment>Concert Hall,"40.7800,-73.9900",NYC,,63,40.780589,-73.980739
3fd66200f964a52021e41ee3,,Nightlife Spot>Bar,"40.7100,-73.9900",NYC,,64,40.719854,-73.988492
3fd66200f964a52021ea1ee3,,Food>Burger Joint,"40.7100,-74.0100",NYC,,65,40.719775,-74.006713
3fd66200f964a52022e41ee3,,Food>Mexican Restaurant,"40.7100,-74.0000",NYC,,66,40.718152,-73.990002
3fd66200f964a52022e51ee3,,Food>German Restaurant,"40.7200,-73.9800",NYC,,67,40.72417,-73.978871
3fd66200f964a52023e41ee3,,Nightlife Spot>Bar,"40.7500,-74.0100",NYC,,68,40.752294,-74.008758
3fd66200f964a52023e81ee3,,Arts & Entertainment>Performing Arts Venue,"40.7700,-73.9900",NYC,,69,40.772531,-73.983442
3fd66200f964a52024e41ee3,,Nightlife Spot>Bar>Cocktail Bar,"40.7200,-73.9900",NYC,,70,40.72,-73.987832
3fd66200f964a52025e41ee3,,Nightlife Spot>Bar>Dive Bar,"40.7200,-74.0000",NYC,,71,40.72488,-73.994685
3fd66200f964a52027e51ee3,,Nightlife Spot>Bar,"40.7200,-73.9900",NYC,,72,40.722898,-73.983235
3fd66200f964a52028e41ee3,,Nightlife Spot>Brewery,"40.7300,-74.0000",NYC,,73,40.73695,-73.990839
3fd66200f964a52029e61ee3,,Nightlife Spot>Bar,"40.7300,-74.0100",NYC,,74,40.730832,-74.000951
3fd66200f964a5202aeb1ee3,,Caf�,"40.7500,-73.9800",NYC,,75,40.758357,-73.970546
3fd66200f964a5202be41ee3,,Nightlife Spot>Bar>Gay Bar,"40.7200,-73.9900",NYC,,76,40.726104,-73.989213
3fd66200f964a5202ce71ee3,,Arts & Entertainment>Movie Theater>Indie Movie Theater,"40.7200,-74.0100",NYC,,77,40.728449,-74.004532
3fd66200f964a5202ee41ee3,,Nightlife Spot>Bar>Dive Bar,"40.7200,-73.9900",NYC,,78,40.728543,-73.984699
3fd66200f964a5202ee61ee3,,Food>Falafel Restaurant,"40.7300,-74.0100",NYC,,79,40.730178,-74.000322
3fd66200f964a5202ee71ee3,,Nightlife Spot>Bar,"40.7300,-74.0100",NYC,,80,40.738658,-74.005542
3fd66200f964a5202ee81ee3,,Shop & Service>Food & Drink Shop>Grocery Store,"40.7800,-73.9900",NYC,,81,40.780558,-73.981719
3fd66200f964a5202fe41ee3,,Nightlife Spot>Bar,"40.7200,-73.9900",NYC,,82,40.724297,-73.988056
3fd66200f964a5202fe81ee3,,Food>Hot Dog Joint,"40.7700,-73.9900",NYC,,83,40.778364,-73.981633
3fd66200f964a52032e91ee3,,Arts & Entertainment>Bowling Alley,"40.7300,-74.0000",NYC,,84,40.73429,-73.992556
3fd66200f964a52033eb1ee3,,Food>Dessert Shop>Ice Cream Shop,"40.7100,-74.0000",NYC,,85,40.715594,-73.998234
3fd66200f964a52034e81ee3,,Food>Mexican Restaurant,"40.7700,-73.9900",NYC,,86,40.771142,-73.983464
3fd66200f964a52034e91ee3,,Food>Asian Restaurant,"40.7600,-73.9900",NYC,,87,40.760781,-73.984337
3fd66200f964a52034ea1ee3,,Food>Burger Joint,"40.7600,-73.9800",NYC,,88,40.760268,-73.975126
3fd66200f964a52034eb1ee3,,Food>Asian Restaurant>Vietnamese Restaurant,"40.7100,-74.0000",NYC,,89,40.719455,-73.996361
3fd66200f964a52035e41ee3,,Arts & Entertainment>Music Venue,"40.7300,-73.9900",NYC,,90,40.731698,-73.989227
3fd66200f964a52035eb1ee3,,Nightlife Spot>Bar>Wine Bar,"40.7300,-74.0000",NYC,,91,40.736181,-73.992217
3fd66200f964a52036e31ee3,,Food>Burger Joint,"40.7200,-73.9900",NYC,,92,40.728533,-73.987809
3fd66200f964a52036e41ee3,,Nightlife Spot>Bar,"40.7200,-73.9900",NYC,,93,40.729617,-73.989798
3fd66200f964a52036e71ee3,,Nightlife Spot>Bar,"40.7300,-74.0100",NYC,,94,40.730465,-74.00426
3fd66200f964a52036ea1ee3,,Food>Breakfast Spot,"40.7200,-73.9900",NYC,,95,40.728425,-73.987276
3fd66200f964a52036eb1ee3,,Nightlife Spot>Bar,"40.7400,-74.0100",NYC,,96,40.74789,-74.004466
3fd66200f964a52037e31ee3,,Food>Chinese Restaurant,"40.7100,-74.0000",NYC,,97,40.714464,-73.999116
3fd66200f964a52037eb1ee3,,Travel & Transport>Hotel,"40.7500,-73.9900",NYC,,98,40.75563,-73.98234
3fd66200f964a52038e41ee3,,Shop & Service>Hobby Shop,"40.7300,-74.0000",NYC,,99,40.733548,-73.991029
3fd66200f964a52038eb1ee3,,Nightlife Spot>Bar>Dive Bar,"40.7200,-74.0000",NYC,,100,40.724494,-73.993347
3fd66200f964a52039e31ee3,,Food>Middle Eastern Restaurant,"40.7200,-73.9900",NYC,,101,40.722555,-73.987872
3fd66200f964a52039eb1ee3,,Nightlife Spot>Bar>Pub,"40.7300,-74.0100",NYC,,102,40.735808,-74.005989
3fd66200f964a5203ae31ee3,,Food>Mexican Restaurant,"40.7200,-73.9900",NYC,,103,40.727869,-73.985672
3fd66200f964a5203ae81ee3,,Food>American Restaurant,"40.7800,-73.9800",NYC,,104,40.780569,-73.976475
3fd66200f964a5203be71ee3,,Food>Dessert Shop>Cupcake Shop,"40.7300,-74.0100",NYC,,105,40.735893,-74.005204
3fd66200f964a5203be81ee3,,Arts & Entertainment>Music Venue>Rock Club,"40.7800,-73.9800",NYC,,106,40.78538,-73.97302
3fd66200f964a5203de31ee3,,Food>Italian Restaurant,"40.7600,-73.9900",NYC,,107,40.760683,-73.98998
3fd66200f964a5203de71ee3,,Nightlife Spot>Bar>Pub,"40.7300,-74.0100",NYC,,108,40.732431,-74.001749
3fd66200f964a5203ee41ee3,,Nightlife Spot>Lounge,"40.7200,-74.0000",NYC,,109,40.72707,-73.991906
3fd66200f964a5203ee71ee3,,Shop & Service>Food & Drink Shop>Cheese Shop,"40.7300,-74.0100",NYC,,110,40.731081,-74.002805
3fd66200f964a5203ee91ee3,,Nightlife Spot>Bar,"40.7200,-73.9900",NYC,,111,40.723286,-73.988443
