group_id,user_id
0,5037
0,10084
1,3954
1,7200
2,11234
2,22274
3,17853
3,17872
4,2033
4,2755
5,1177
5,7535
6,12636
6,12746
7,265
7,700
8,136
8,597
8,869
9,459
9,2811
10,1871
10,2282
11,6437
11,7619
12,1154
12,1531
13,5037
13,10929
14,2569
14,7110
15,10740
15,10839
16,4567
16,18452
16,18459
17,2240
17,12120
18,15481
18,16315
19,10918
19,11792
20,2085
20,9556
21,2380
21,2811
22,4567
22,15377
23,344
23,534
24,14541
24,18769
25,1758
25,14489
26,3954
26,7200
27,376
27,4339
27,9502
28,3835
28,12867
28,12898
29,8164
29,9418
30,9556
30,17277
31,5797
31,7025
32,2569
32,7110
33,43
33,6607
34,2452
34,17450
35,634
35,24338
36,14397
36,15319
36,15327
37,24788
37,27192
38,29012
38,29016
39,5677
39,22259
40,6
40,788
41,3400
41,4627
42,1531
42,3586
42,4236
43,7318
43,8273
44,517
44,18913
45,8769
45,10570
46,17594
46,21325
47,2166
47,8594
48,7318
48,20148
49,20601
49,22423
50,24173
50,24243
51,24788
51,27192
52,8615
52,19615
53,955
53,1487
54,459
54,5781
55,5037
55,10929
56,459
56,10238
57,43
57,11891
58,43
58,6607
59,29012
59,29016
60,459
60,733
61,955
61,1488
62,459
62,5443
63,627
63,5699
64,459
64,5602
65,459
65,5443
66,8987
66,9441
67,459
67,5443
68,1366
68,13576
69,459
69,9132
70,7184
70,10303
70,10506
71,14939
71,14952
72,1564
72,2126
72,16863
73,459
73,19630
74,6061
74,6116
75,7110
75,11106
76,1365
76,2380
76,15466
77,8769
77,10570
78,17594
78,21100
79,1758
79,14489
80,3954
80,7200
81,376
81,22002
82,1531
82,3586
83,10890
83,12997
84,1662
84,7328
85,20601
85,22423
86,8724
86,11049
86,16602
87,23023
87,23669
88,43
88,11891
89,3185
89,10750
90,450
90,23017
91,869
91,16259
92,3316
92,22578
93,14980
93,17450
94,1247
94,15321
95,12221
95,14535
96,11882
96,12938
97,987
97,20833
98,17892
98,20951
99,14397
99,15319
99,15327
100,23502
100,25119
101,8331
101,14397
102,12790
102,24629
103,6713
103,10562
104,2811
104,23469
104,25179
105,8705
105,23728
106,27592
106,27595
107,25080
107,27239
108,4445
108,28385
109,10451
109,23017
110,147
110,21955
111,29012
111,29016
112,28434
112,28443
113,21466
113,27616
114,25633
114,31036
115,18450
115,19524
116,10528
116,29197
117,13635
117,31296
118,350
118,426
119,779
119,923
120,353
120,5385
121,13108
121,14723
122,353
122,2233
122,14679
123,353
123,5675
123,6503
123,6740
123,7535
123,14679
124,885
124,14915
125,7605
125,7656
126,4632
126,5446
127,7605
127,7656
128,4772
128,8408
128,14298
128,15466
128,16266
128,17124
129,407
129,10243
129,16127
129,16723
130,4041
130,8408
130,9190
130,9439
131,3238
131,5446
131,6865
131,10505
131,10680
131,10879
131,12703
132,3322
132,13667
132,14186
133,11559
133,12298
134,3238
134,7137
134,10243
134,12576
135,745
135,4918
135,5296
136,7667
136,10243
136,10505
137,5446
137,7478
137,10327
137,15503
137,16715
138,5296
138,9504
139,1429
139,7618
139,11680
139,15603
139,15986
139,16428
140,3322
140,7832
140,11096
140,14123
141,1429
141,12621
141,12747
141,16005
142,1005
142,7326
142,7618
142,9693
142,17947
143,4218
143,5296
144,7488
144,16723
145,3322
145,9693
145,17284
146,59
146,7667
147,1277
147,10243
148,7488
148,8008
148,9693
148,16919
149,6048
149,11001
150,3322
150,4632
150,14795
150,17319
151,5574
151,5581
152,407
152,10505
153,353
153,11273
153,14823
153,18322
154,2950
154,6648
154,12220
155,10243
155,13342
155,14808
156,9871
156,15927
156,19254
157,6719
157,8396
158,7656
158,13910
158,15634
159,2126
159,5296
159,8320
160,4772
160,16652
161,6696
161,7794
161,8307
161,11042
161,11424
162,3053
162,5574
162,18269
163,3322
163,7137
163,9687
163,11272
163,15144
163,17322
164,5147
164,7521
164,8408
164,12289
164,15927
164,19254
165,1741
165,17276
165,17913
166,3322
166,8408
167,1741
167,3286
167,5296
167,18164
168,4632
168,5296
169,407
169,4507
169,4520
169,5487
169,12736
169,16657
169,18391
169,19210
170,2235
170,7478
170,8064
170,9379
170,13910
170,15683
170,19254
171,3322
171,7137
171,8436
172,2972
172,5296
172,10888
172,18057
172,18938
173,7794
173,8192
173,16030
173,16524
173,16807
173,17964
173,18414
174,1599
174,3238
174,6789
174,7135
174,10312
174,15603
174,19254
175,4632
175,7137
175,15885
175,17738
175,18008
175,20471
176,3322
176,8714
177,4918
177,9074
177,10505
177,11908
178,7135
178,8408
178,9812
178,15603
178,15986
179,407
179,1277
179,4632
179,4918
179,7624
180,9812
180,20314
181,7116
181,8694
181,10312
181,18205
182,7137
182,7674
182,19254
183,2912
183,4426
183,5078
184,407
184,9693
184,11234
184,12736
184,15466
184,16080
184,19254
184,20431
185,10242
185,20654
185,21235
186,5574
186,15059
186,15458
186,19254
186,19647
187,9693
187,15466
187,19650
188,5078
188,9330
188,15458
188,19254
189,6402
189,7137
190,725
190,4838
190,11234
190,16407
190,19254
191,407
191,9423
192,4499
192,5078
192,9138
192,10445
193,1602
193,15970
193,19695
193,21617
194,4507
194,4520
195,4228
195,10312
195,11234
195,16125
195,18164
195,21655
196,19958
196,19967
197,3322
197,11798
197,17171
198,5145
198,12576
199,5078
199,7137
200,10312
200,18164
201,8130
201,8408
202,11234
202,22274
203,12298
203,17127
204,3322
204,5962
204,7137
204,7817
204,17799
205,5078
205,15199
205,16727
